Date,Time,Open,High,Low,Close,Volume
20211129,1422,29365,29365,29365,29365,11
20211129,1420,29400,29400,29400,29400,2
20211129,1419,29410,29410,29410,29410,5
20211129,1418,29415,29415,29415,29415,5
20211129,1415,29420,29420,29420,29420,2
20211129,1413,29420,29420,29420,29420,1
20211129,1406,29430,29430,29430,29430,1
20211129,1400,29470,29470,29470,29470,1
20211129,1352,29440,29440,29430,29430,13
20211129,1333,29435,29440,29435,29440,5
20211129,1331,29435,29435,29435,29435,2
20211129,1321,29445,29445,29445,29445,100
20211129,1320,29440,29440,29440,29440,9
20211129,1307,29465,29465,29465,29465,5
20211129,1306,29465,29465,29465,29465,4
20211129,1304,29455,29480,29455,29480,10
20211129,1259,29440,29440,29440,29440,33
20211129,1256,29440,29440,29440,29440,6
20211129,1254,29440,29440,29440,29440,2
20211129,1251,29440,29440,29440,29440,1
20211129,1246,29450,29450,29450,29450,1
20211129,1238,29445,29445,29445,29445,78
20211129,1236,29445,29445,29445,29445,6
20211129,1234,29440,29440,29440,29440,2
20211129,1230,29440,29440,29440,29440,2
20211129,1227,29440,29440,29440,29440,1
20211129,1214,29445,29450,29445,29450,2
20211129,1212,29470,29470,29440,29440,10
20211129,1154,29490,29490,29490,29490,4
20211129,1152,29490,29490,29490,29490,1
20211129,1150,29510,29510,29510,29510,1
20211129,1149,29510,29510,29510,29510,2
20211129,1147,29525,29525,29525,29525,724
20211129,1145,29525,29525,29525,29525,7
20211129,1144,29535,29535,29535,29535,1
20211129,1128,29525,29525,29525,29525,1
20211129,1126,29525,29525,29525,29525,6
20211129,1116,29555,29555,29555,29555,1
20211129,1115,29550,29550,29550,29550,169
20211129,1113,29550,29550,29550,29550,2
20211129,1112,29550,29550,29550,29550,1
20211129,1108,29525,29525,29525,29525,272
20211129,1104,29505,29530,29505,29530,15
20211129,1103,29500,29500,29500,29500,1
20211129,1100,29485,29490,29485,29490,3
20211129,1059,29485,29485,29485,29485,2
20211129,1055,29470,29470,29470,29470,1
20211129,1046,29440,29465,29440,29465,5
20211129,1045,29435,29435,29435,29435,2
20211129,1038,29410,29410,29410,29410,2
20211129,1037,29405,29405,29405,29405,2
20211129,1031,29385,29385,29385,29385,13
20211129,1030,29425,29425,29425,29425,1
20211129,1015,29430,29450,29430,29450,117
20211129,1007,29425,29430,29425,29430,4
20211129,1006,29420,29425,29420,29425,3
20211129,1005,29405,29415,29405,29415,5
20211129,951,29385,29385,29385,29385,2
20211129,947,29385,29385,29385,29385,1
20211129,946,29395,29395,29390,29390,84
20211129,945,29410,29410,29400,29400,17
20211129,942,29510,29510,29510,29510,1
20211129,941,29450,29450,29450,29450,103
20211129,938,29460,29460,29460,29460,35
20211129,937,29475,29500,29460,29460,116
20211129,933,29450,29460,29450,29460,383
20211129,929,29460,29460,29460,29460,23
20211129,926,29465,29465,29460,29460,4
20211129,922,29505,29505,29505,29505,300
20211129,919,29485,29505,29485,29505,35
20211129,914,29460,29460,29460,29460,30
20211129,913,29490,29490,29490,29490,1
20211129,910,29395,29395,29395,29395,1
20211129,904,29225,29225,29225,29225,65
20211129,902,29060,29060,29060,29060,92
20211129,901,29360,29360,28950,29005,246
20211126,1530,29570,29570,29570,29570,3
20211126,1513,29570,29570,29570,29570,10
20211126,1504,29585,29585,29585,29585,1
20211126,1503,29580,29580,29565,29565,12
20211126,1458,29580,29580,29580,29580,30
20211126,1457,29595,29595,29595,29595,1
20211126,1455,29600,29600,29600,29600,3
20211126,1452,29565,29620,29565,29620,40
20211126,1451,29560,29560,29560,29560,4
20211126,1450,29560,29560,29560,29560,67
20211126,1449,29560,29560,29560,29560,4
20211126,1447,29560,29560,29560,29560,4
20211126,1445,29560,29560,29560,29560,4
20211126,1444,29565,29565,29565,29565,1
20211126,1443,29560,29560,29560,29560,5
20211126,1441,29560,29560,29560,29560,4
20211126,1439,29560,29560,29560,29560,4
20211126,1437,29560,29560,29560,29560,4
20211126,1435,29560,29560,29560,29560,4
20211126,1433,29560,29560,29560,29560,4
20211126,1432,29560,29560,29560,29560,4
20211126,1430,29560,29560,29560,29560,2
20211126,1429,29555,29560,29555,29560,12
20211126,1427,29560,29560,29560,29560,1
20211126,1419,29560,29575,29550,29575,54
20211126,1418,29565,29565,29565,29565,4
20211126,1416,29565,29565,29565,29565,139
20211126,1414,29565,29565,29565,29565,1
20211126,1410,29570,29575,29570,29575,7
20211126,1409,29575,29575,29575,29575,18
20211126,1403,29585,29585,29585,29585,9
20211126,1401,29585,29585,29585,29585,3
20211126,1357,29600,29600,29600,29600,24
20211126,1355,29600,29600,29600,29600,4
20211126,1350,29600,29600,29600,29600,4
20211126,1343,29605,29605,29605,29605,2
20211126,1341,29605,29605,29605,29605,2
20211126,1340,29600,29600,29600,29600,4
20211126,1335,29600,29600,29600,29600,4
20211126,1326,29605,29605,29605,29605,50
20211126,1320,29605,29605,29605,29605,4
20211126,1319,29630,29640,29630,29640,50
20211126,1312,29630,29630,29630,29630,5
20211126,1311,29625,29635,29625,29635,11
20211126,1305,29640,29640,29625,29625,6
20211126,1301,29640,29640,29640,29640,5
20211126,1257,29640,29640,29640,29640,51
20211126,1256,29650,29650,29650,29650,8
20211126,1253,29675,29675,29675,29675,2
20211126,1241,29665,29680,29665,29680,43
20211126,1232,29665,29685,29665,29685,71
20211126,1231,29660,29665,29660,29665,13
20211126,1225,29665,29665,29665,29665,2
20211126,1220,29670,29670,29670,29670,3
20211126,1218,29660,29665,29660,29665,10
20211126,1205,29655,29660,29650,29650,84
20211126,1203,29660,29670,29660,29670,18
20211126,1156,29660,29660,29660,29660,4
20211126,1154,29670,29670,29670,29670,15
20211126,1153,29670,29670,29670,29670,4
20211126,1152,29695,29695,29695,29695,6
20211126,1148,29700,29700,29700,29700,1
20211126,1147,29705,29705,29705,29705,2
20211126,1146,29700,29700,29700,29700,2
20211126,1145,29700,29700,29700,29700,3
20211126,1140,29690,29690,29690,29690,10
20211126,1137,29700,29700,29700,29700,25
20211126,1136,29700,29700,29700,29700,1
20211126,1135,29700,29700,29700,29700,1
20211126,1133,29695,29700,29695,29700,12
20211126,1127,29705,29705,29700,29700,170
20211126,1120,29730,29730,29725,29725,15
20211126,1117,29745,29745,29745,29745,21
20211126,1116,29760,29760,29760,29760,1
20211126,1111,29790,29790,29790,29790,2
20211126,1109,29800,29800,29800,29800,30
20211126,1108,29790,29790,29790,29790,1
20211126,1104,29800,29800,29800,29800,41
20211126,1056,29825,29830,29825,29830,5
20211126,1054,29825,29825,29825,29825,1
20211126,1053,29830,29830,29825,29825,4
20211126,1046,29820,29820,29820,29820,1
20211126,1040,29845,29870,29845,29845,102
20211126,1021,29885,29885,29885,29885,30
20211126,1002,29880,29885,29880,29885,10
20211126,957,29880,29880,29870,29880,55
20211126,954,29910,29910,29905,29905,27
20211126,950,29910,29910,29910,29910,11
20211126,949,29910,29910,29905,29905,25
20211126,947,29915,29915,29915,29915,1
20211126,929,29950,29950,29950,29950,7
20211126,922,29980,29980,29970,29970,9
20211126,921,30010,30010,29995,29995,7
20211126,920,30020,30020,30020,30020,106
20211126,916,30070,30070,30070,30070,1
20211126,904,30120,30120,30120,30120,1
20211126,901,30040,30040,30015,30025,108
20211125,1530,30130,30130,30130,30130,10
20211125,1518,30150,30150,30150,30150,3
20211125,1516,30145,30145,30145,30145,3
20211125,1514,30165,30165,30165,30165,3
20211125,1513,30145,30145,30145,30145,3
20211125,1512,30150,30150,30150,30150,3
20211125,1510,30145,30145,30145,30145,3
20211125,1509,30145,30165,30145,30165,6
20211125,1507,30150,30150,30150,30150,3
20211125,1455,30150,30150,30145,30145,13
20211125,1452,30150,30150,30150,30150,3
20211125,1451,30150,30150,30150,30150,2
20211125,1450,30160,30160,30160,30160,6
20211125,1448,30175,30175,30160,30160,9
20211125,1445,30185,30185,30185,30185,3
20211125,1444,30165,30165,30160,30160,6
20211125,1443,30185,30185,30185,30185,36
20211125,1437,30190,30190,30190,30190,1
20211125,1433,30205,30205,30205,30205,2
20211125,1431,30185,30185,30185,30185,3
20211125,1429,30150,30150,30135,30135,10
20211125,1428,30200,30200,30200,30200,3
20211125,1426,30205,30205,30205,30205,3
20211125,1423,30205,30205,30205,30205,3
20211125,1421,30195,30195,30195,30195,3
20211125,1408,30155,30155,30150,30150,25
20211125,1404,30155,30155,30155,30155,3
20211125,1403,30155,30155,30155,30155,3
20211125,1401,30160,30160,30160,30160,3
20211125,1359,30180,30180,30165,30165,9
20211125,1358,30170,30170,30170,30170,1
20211125,1357,30180,30180,30175,30175,4
20211125,1356,30175,30175,30175,30175,1
20211125,1354,30175,30185,30175,30185,2
20211125,1353,30180,30190,30180,30190,2
20211125,1352,30195,30195,30195,30195,3
20211125,1351,30160,30160,30160,30160,3
20211125,1349,30195,30195,30195,30195,3
20211125,1347,30185,30185,30185,30185,3
20211125,1345,30185,30185,30155,30155,7
20211125,1343,30155,30155,30155,30155,3
20211125,1342,30165,30165,30165,30165,3
20211125,1341,30165,30165,30165,30165,2
20211125,1336,30165,30165,30165,30165,1
20211125,1335,30165,30165,30165,30165,6
20211125,1328,30175,30175,30165,30165,16
20211125,1326,30175,30175,30175,30175,3
20211125,1325,30180,30180,30180,30180,3
20211125,1320,30170,30170,30165,30165,7
20211125,1318,30180,30180,30175,30175,6
20211125,1316,30175,30175,30175,30175,3
20211125,1313,30175,30175,30175,30175,3
20211125,1311,30175,30175,30175,30175,3
20211125,1308,30175,30175,30175,30175,3
20211125,1306,30175,30175,30175,30175,3
20211125,1304,30175,30175,30175,30175,3
20211125,1301,30175,30175,30175,30175,3
20211125,1259,30175,30175,30175,30175,3
20211125,1256,30175,30175,30175,30175,3
20211125,1254,30175,30175,30175,30175,6
20211125,1251,30175,30175,30175,30175,6
20211125,1249,30175,30175,30175,30175,6
20211125,1247,30175,30175,30175,30175,6
20211125,1244,30175,30175,30175,30175,6
20211125,1242,30175,30175,30175,30175,3
20211125,1228,30140,30140,30115,30115,33
20211125,1227,30175,30175,30175,30175,3
20211125,1225,30175,30175,30175,30175,3
20211125,1222,30175,30175,30175,30175,3
20211125,1211,30170,30170,30170,30170,5
20211125,1208,30170,30170,30150,30150,9
20211125,1206,30175,30175,30175,30175,3
20211125,1205,30160,30160,30150,30150,9
20211125,1204,30175,30175,30175,30175,4
20211125,1203,30175,30175,30175,30175,3
20211125,1201,30175,30175,30175,30175,3
20211125,1158,30175,30175,30175,30175,3
20211125,1145,30165,30165,30165,30165,3
20211125,1144,30175,30175,30170,30170,9
20211125,1141,30175,30175,30175,30175,6
20211125,1139,30175,30175,30175,30175,6
20211125,1137,30175,30175,30175,30175,3
20211125,1134,30175,30175,30175,30175,1
20211125,1132,30175,30175,30175,30175,3
20211125,1129,30175,30175,30175,30175,3
20211125,1127,30170,30170,30170,30170,3
20211125,1124,30180,30180,30180,30180,3
20211125,1122,30180,30180,30140,30140,5
20211125,1117,30185,30185,30185,30185,3
20211125,1115,30155,30155,30155,30155,3
20211125,1112,30140,30140,30140,30140,3
20211125,1110,30115,30145,30115,30145,6
20211125,1108,30140,30140,30140,30140,3
20211125,1105,30155,30155,30155,30155,3
20211125,1103,30160,30160,30160,30160,3
20211125,1100,30155,30155,30155,30155,3
20211125,1054,30105,30105,30105,30105,5
20211125,1047,30135,30135,30130,30130,5
20211125,1046,30140,30140,30140,30140,3
20211125,1045,30140,30140,30140,30140,3
20211125,1043,30145,30145,30145,30145,3
20211125,1037,30165,30165,30150,30150,6
20211125,1035,30170,30170,30165,30165,5
20211125,1034,30175,30195,30170,30170,8
20211125,1033,30180,30180,30180,30180,2
20211125,1031,30200,30200,30200,30200,3
20211125,1029,30200,30200,30200,30200,2
20211125,1026,30220,30220,30220,30220,3
20211125,1024,30220,30220,30220,30220,2
20211125,1022,30210,30210,30210,30210,3
20211125,1011,30155,30155,30155,30155,1
20211125,1009,30185,30185,30185,30185,10
20211125,1008,30170,30170,30160,30160,3
20211125,1007,30200,30200,30195,30195,6
20211125,1005,30225,30225,30225,30225,2
20211125,1003,30200,30200,30195,30195,5
20211125,958,30200,30200,30195,30195,5
20211125,957,30225,30225,30220,30220,4
20211125,955,30230,30230,30230,30230,2
20211125,952,30255,30255,30245,30245,35
20211125,944,30245,30245,30245,30245,51
20211125,941,30190,30190,30175,30175,10
20211125,931,30190,30190,30170,30170,6
20211125,930,30200,30200,30195,30195,7
